lesson_number,order_index,domain,difficulty,title,module,topics,prerequisites,status,tags,notes
226,25,pentest,2,Client-Side Attacks: Microsoft Office & Windows Library Files,,"Design persuasive pretexts that map to specific client-side payload formats, Craft and obfuscate VBA and XLM macros that deliver staged payloads, Abuse DDE and OLE features to trigger command execution without traditional macros",[],completed,"Career Path: Penetration Tester, Built-In",
227,26,pentest,3,Antivirus Evasion Techniques,,"Analyze how modern AV/EDR engines detect malicious code across signature, heuristic, and behavioral layers, Design layered obfuscation, encoding, and encryption strategies for custom payloads, Implement process injection and in-memory execution techniques using native APIs and indirect syscalls","[""pentest_03""]",completed,"Career Path: Penetration Tester, Built-In",
228,27,pentest,2,Metasploit Fundamentals & Workspace Setup,,"Describe the primary components of Metasploit Framework and how modules interact, Configure and manage Metasploit workspaces with PostgreSQL integration, Execute a repeatable exploitation workflow from module discovery to session cleanup",[],completed,"Career Path: Penetration Tester, Built-In",
229,28,pentest,2,Metasploit Payload Engineering,,"Differentiate between single, stager, and staged payloads and choose the right option for a target, Configure multi-handler setups that support diverse transports and simultaneous sessions, Generate custom payloads with msfvenom using templates, encoding, and architecture controls","[""pentest_21""]",completed,"Career Path: Penetration Tester, Built-In",
230,29,pentest,2,Metasploit Post-Exploitation Operations,,"Execute Meterpreter post-exploitation modules to gather intelligence and maintain access, Harvest and manage credentials responsibly to support privilege escalation and lateral movement, Implement persistence and pivoting techniques aligned with engagement scope","[""pentest_21"", ""pentest_22""]",completed,"Career Path: Penetration Tester, Built-In",
231,30,pentest,3,Automating Metasploit Engagements,,"Automate Metasploit setup and cleanup using modular resource scripts, Integrate msfrpcd into orchestration workflows for large-scale operations, Develop custom Ruby modules to extend automation capabilities","[""pentest_21"", ""pentest_22"", ""pentest_23""]",completed,"Career Path: Penetration Tester, Built-In",
232,31,pentest,3,Port Forwarding and Pivoting with Linux Tools,,"Configure SSH tunnels in local, remote, and dynamic modes to reroute traffic through pivot hosts, Build and validate ProxyChains configurations that steer multiple tools through SOCKS tunnels, Deploy Socat, Chisel, and Ligolo-ng to bridge incompatible network segments","[""pentest_03""]",completed,"Career Path: Penetration Tester, Built-In",
233,32,pentest,3,Port Forwarding and Pivoting with Windows Tools,,"Configure netsh portproxy rules to relay traffic between Windows hosts, Deploy plink-based SSH tunnels for local, remote, and dynamic forwarding, Use PowerShell Remoting and PowerCat to create custom relay services","[""pentest_03""]",completed,"Career Path: Penetration Tester, Built-In",
234,33,pentest,3,Advanced Tunneling: HTTP and DNS,,"Configure authoritative DNS infrastructure to support tunneling tools, Deploy HTTP- and DNS-based tunnels to bypass restrictive egress controls, Measure latency and throughput to choose appropriate tunneling strategies","[""pentest_25"", ""pentest_26""]",completed,"Career Path: Penetration Tester, Built-In",
235,34,pentest,2,Active Information Gathering: Protocol Enumeration,,"Conduct targeted SMB, SNMP, SMTP, DNS, and LDAP enumeration, Interpret service responses to identify misconfigurations and risks, Organize enumeration data into actionable inventories",[],completed,"Career Path: Penetration Tester, Built-In",
236,35,pentest,2,Living off the Land: Reconnaissance with Native Tools,,"Map system configuration using built-in Windows and Linux utilities, Correlate native command outputs to identify lateral movement opportunities, Record reconnaissance steps for reproducibility and reporting",[],completed,"Career Path: Penetration Tester, Built-In",
237,36,pentest,2,"Public Exploits: Discovery, Analysis, and Execution",,"Locate public exploits from reputable sources and assess credibility, Analyze exploit code to understand payload delivery and risks, Prepare isolated labs for safe exploit testing and adaptation",[],completed,"Career Path: Penetration Tester, Built-In",
238,1,red_team,1,Red Team Fundamentals,,"Understand what red teaming is and how it differs from penetration testing, Explain the importance of rules of engagement, Describe the ethical and legal boundaries of offensive security",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
239,2,red_team,1,OSINT and Reconnaissance,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
240,3,red_team,2,Red Team Initial Access Tradecraft,,"Design initial access campaigns aligned with engagement scope and safety rules, Select payload carriers that bypass secure email and web gateways, Instrument callbacks with resilient communication channels and kill switches","[""Red Team Fundamentals"", ""Red Team OSINT Reconnaissance""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
241,4,red_team,3,Payload Development & Execution Frameworks,,"Generate payloads using multiple frameworks, languages, and encoders, Implement reflective loading and process injection safely within engagement scope, Instrument payloads with configurable kill switches and white cell telemetry","[""Red Team Initial Access Tradecraft"", ""Penetration Testing Exploitation Fundamentals""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
242,5,red_team,3,Windows Privilege Escalation for Red Teams,,"Follow a structured checklist for Windows privilege escalation, Exploit service misconfigurations and binary planting opportunities safely, Leverage credential material to advance toward domain dominance","[""Red Team Payload Development & Execution Frameworks"", ""Active Directory Enumeration & Attack Path Discovery""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
243,6,red_team,3,Lateral Movement Operations & Command and Control,,"Select lateral movement techniques aligned with engagement objectives and OPSEC, Automate host-to-host operations through C2 frameworks and custom tooling, Manage credentials securely during multi-hop campaigns","[""Windows Privilege Escalation for Red Teams"", ""Active Directory Hardening & Continuous Monitoring""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
244,7,red_team,3,Initial Access Automation with PhishKit Frameworks,,"Evaluate phishing automation frameworks based on engagement requirements, Deploy GoPhish or Phishery using repeatable infrastructure scripts, Instrument campaigns with safeties, throttling, and tamper logging","[""Red Team Initial Access Tradecraft"", ""Red Team Payload Development & Execution Frameworks""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
245,8,red_team,2,Password Attacks & Credential Harvesting,,"Understand different password attack techniques and when to use each, Master hash cracking with Hashcat and John the Ripper, Learn credential harvesting techniques on Windows and Linux",[],completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
246,9,red_team,3,Operational Security for Long-Term Engagements,,"Design OPSEC plans covering infrastructure, operations, and reporting, Maintain clean C2 infrastructure across long engagements, Implement communication discipline with white cell coordination","[""Red Team Initial Access Tradecraft"", ""Lateral Movement Operations & Command and Control""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
247,10,red_team,3,Advanced Phishing and Social Engineering for Red Teams,,"Design and execute sophisticated spear phishing campaigns, Set up phishing infrastructure with proper OPSEC, Bypass email security controls (SPF, DKIM, DMARC)","[""e7f8a9b0-c1d2-3e4f-5a6b-7c8d9e0f1a2b""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
248,11,red_team,3,Adversary Emulation with MITRE ATT&CK,,"Build adversary profiles aligned with organisational threats, Select ATT&CK techniques and develop atomic tests, Coordinate with defenders to measure detection coverage","[""Operational Security for Long-Term Engagements"", ""Lateral Movement Operations & Command and Control""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
249,12,red_team,3,Initial Access Using HTML Smuggling & Modern Browsers,,"Explain how HTML smuggling bypasses perimeter controls, Craft safe proof-of-concept payloads for testing, Instrument campaigns with telemetry for defenders","[""Red Team Initial Access Tradecraft"", ""Initial Access Automation with PhishKit Frameworks""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
250,13,red_team,2,Red Team Reporting Masterclass,,"Craft reports that resonate with executives and engineers, Prioritise findings based on business impact, Provide actionable remediation guidance","[""Operational Security for Long-Term Engagements""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
251,15,red_team,3,APT29 (Cozy Bear) - Advanced Persistent Threat Tactics,,"Understand APT29's operational history, motivation, and victim targeting patterns, Analyze real-world attack chains from SolarWinds, DNC breach, and other campaigns, Study APT29's custom malware, tools, and tradecraft","[""f8e7d6c5-b4a3-9218-7c6d-5e4f3a2b1c0d""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
252,16,red_team,3,Command and Control (C2) Infrastructure Design,,"Design resilient and covert C2 infrastructure for red team operations, Implement redirectors, domain fronting, and traffic obfuscation, Customize Cobalt Strike malleable C2 profiles for evasion","[""c5f0e9d4-7b6a-4c3d-9e4h-0g9a8b7c6d5g""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
253,17,red_team,3,Living-off-the-Land Binaries (LOLBins) and Fileless Attacks,,"Understand Living-off-the-Land techniques and why they're effective, Master exploitation of Windows signed binaries for offensive operations, Execute commands and payloads using PowerShell, WMI, and WMIC","[""d6g1f0e5-8c7b-5d4e-0f5i-1h0b9c8d7e6h""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
254,18,red_team,3,APT28 (Fancy Bear) Operations and Tactics,,"Analyze APT28's operational structure and organizational ties to Russian military intelligence (GRU), Understand the technical details of NotPetya wiper malware and its global impact, Identify APT28's signature tools and malware families (X-Agent, XTunnel, Sofacy)","[""9a8b7c6d-5e4f-3a2b-1c0d-9e8f7a6b5c4d""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
255,19,red_team,3,Lazarus Group Operations and Tactics,,"Understand Lazarus Group's organizational structure within North Korean intelligence (RGB), Analyze the WannaCry ransomware attack and its global impact, Examine financially motivated attacks including SWIFT bank heists","[""9a8b7c6d-5e4f-3a2b-1c0d-9e8f7a6b5c4d""]",completed,"Career Path: Penetration Tester, Career Path: Red Team Operator, Built-In",
256,1,system,1,Windows System Internals Fundamentals,,"Understand core concepts, Apply knowledge in real-world scenarios, Identify common security issues",[],completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
257,2,system,2,Windows Registry Deep Dive,,"Understand registry architecture including hives, keys, values, and physical storage, Identify critical registry locations for persistence, security settings, and forensic artifacts, Analyze registry permissions and identify security misconfigurations","[""3ad9d1e7-f1b9-49fc-b0e6-2df0d8614aff""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
258,3,system,2,Windows Processes and Threads Deep Dive,,"Understand process architecture including memory space, security tokens, handles, and threads, Identify critical Windows processes and recognize normal parent-child relationships, Analyze process trees to detect malicious execution chains","[""3ad9d1e7-f1b9-49fc-b0e6-2df0d8614aff""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
259,4,system,2,Linux Internals Fundamentals,,"Understand Linux file system hierarchy and purpose of critical directories, Master Linux permissions model (owner/group/others, rwx, setuid/setgid/sticky), Identify user account files (/etc/passwd, /etc/shadow, /etc/sudoers) and security implications","[""3ad9d1e7-f1b9-49fc-b0e6-2df0d8614aff""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
260,5,system,2,Windows Services & Permissions Deep Dive,,"Understand Windows Services architecture and the Service Control Manager, Master service account types and their security implications, Learn to analyze and configure service permissions properly","[""sys1-windows-internals-001"", ""sys2-registry-deep-dive-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
261,6,system,2,Linux Process Management & Monitoring for Security,,"Understand Linux process lifecycle from fork to exit, Master process monitoring tools (ps, top, lsof, /proc), Learn to identify suspicious and malicious processes","[""sys4-linux-internals-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
262,7,system,3,Windows Memory Architecture & Exploitation,,"Understand Windows virtual memory architecture and paging, Master the difference between user mode and kernel mode memory, Learn memory protection mechanisms (DEP, ASLR, CFG)","[""sys1-windows-internals-001"", ""sys3-processes-threads-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
263,8,system,2,Linux File Systems & Security Models,,"Master Linux file system hierarchy and its security implications, Understand file permissions, ownership, and special bits (SUID/SGID/Sticky), Learn to identify and exploit weak file permissions for privilege escalation","[""sys4-linux-internals-001"", ""sys6-linux-proc-mgmt-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
264,9,system,3,PowerShell Internals for Security Operations,,"Understand PowerShell architecture and execution model, Master PowerShell security features and their bypass techniques, Learn offensive PowerShell techniques used by attackers","[""sys1-windows-internals-001"", ""sys5-win-services-perms-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
265,10,system,3,"Linux Security Mechanisms: SELinux, AppArmor & Capabilities",,"Understand Mandatory Access Control (MAC) and its advantages over DAC, Master SELinux policies, contexts, and troubleshooting, Learn AppArmor profiles and confinement strategies","[""sys4-linux-internals-001"", ""sys8-linux-fs-sec-001""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
266,11,system,2,Endpoint Detection Response Tuning & Telemetry Lab,,"Set up EDR test labs, Evaluate detections vs false positives, Normalise telemetry for analytics","[""Security Monitoring and Logging Fundamentals"", ""Detection-as-Code with Sigma & AWS OpenSearch""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
267,12,system,2,Windows Event Forwarding Architecture Deep Dive,,"Architect Windows Event Forwarding deployments for scale and reliability, Choose appropriate subscription types and filters for security use cases, Secure WEF communications using Kerberos and certificate-based authentication","[""Windows Internals Deep Dive"", ""Security Monitoring and Logging Fundamentals""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
268,13,system,3,Windows Kernel Internals for Security Engineers,,"Explain kernel components and security features, Analyse driver behaviour and callbacks, Leverage instrumentation for detection","[""Windows Internals Deep Dive"", ""Windows Privilege Escalation for Red Teams""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
269,14,system,2,PowerShell Constrained Language Mode & Application Control,,"Assess PowerShell usage patterns, Implement CLM policies, Integrate application control","[""Credential Guard & LSA Protection Lab"", ""Security Monitoring and Logging Fundamentals""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
270,15,system,2,macOS Endpoint Hardening with MDM,,"Define macOS security baselines, Deploy profiles via MDM, Integrate with identity and access controls","[""macOS Incident Response Triage"", ""Security Monitoring and Logging Fundamentals""]",completed,"Career Path: Security Engineer, Career Path: DFIR Specialist, Built-In",
271,1,threat_hunting,1,Threat Hunting Fundamentals,,"Understand the difference between threat hunting and traditional detection, Learn hypothesis-driven hunting methodology, Master MITRE ATT&CK framework for threat hunting",[],completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
272,2,threat_hunting,2,Threat Hunting Methodologies,,"Master Crown Jewels Analysis for prioritizing hunt targets, Understand TTP-based hunting methodology, Differentiate indicator-based from behavior-based hunting","[""th-001-fundamentals""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
273,3,threat_hunting,2,Windows Event Log Analysis for Threat Hunters,,"Master critical Windows Event IDs for threat hunting, Deploy and analyze Sysmon for enhanced visibility, Hunt for lateral movement via event logs","[""th-001-fundamentals"", ""th-002-methodologies""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
274,4,threat_hunting,2,Network Traffic Analysis for Threat Hunting,,"Analyze NetFlow data for threat hunting, Deploy and use Zeek for network monitoring, Hunt for C2 beaconing in network traffic","[""th-001-fundamentals"", ""th-002-methodologies""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
275,5,threat_hunting,3,Memory Forensics for Threat Hunting,,"Acquire volatile memory from live systems, Use Volatility to analyze memory dumps, Detect fileless malware in memory","[""th-001-fundamentals"", ""th-003-windows-event-logs""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
276,6,threat_hunting,2,EDR for Threat Hunters,,"Understand EDR capabilities vs traditional endpoint protection, Hunt threats using EDR query languages, Correlate EDR telemetry across multiple endpoints","[""th-001-fundamentals"", ""th-003-windows-event-logs""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
277,7,threat_hunting,2,Threat Intelligence for Hunting,,"Understand types of threat intelligence (strategic, tactical, operational), Consume and operationalize IOCs for hunting, Build TTP-based hunt hypotheses from intelligence","[""th-001-fundamentals"", ""th-002-methodologies""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
278,8,threat_hunting,3,Advanced APT Hunting Techniques,,"Understand the complete APT attack lifecycle from initial compromise to mission completion, Detect multi-stage attacks that span weeks or months using timeline analysis, Hunt for advanced persistence mechanisms used by nation-state actors","[""th-001-fundamentals"", ""th-002-methodologies"", ""th-003-windows-event-logs"", ""th-004-network-traffic"", ""th-005-memory-forensics"", ""th-006-edr"", ""th-007-threat-intel""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
279,9,threat_hunting,3,SIEM and Data Lake Hunting at Scale,,"Understand SIEM architecture and data ingestion pipelines for threat hunting, Design effective hunting queries that scale across millions of events, Apply query optimization techniques to reduce hunt execution time","[""th-001-fundamentals"", ""th-002-methodologies"", ""th-003-windows-event-logs"", ""th-004-network-traffic"", ""th-006-edr"", ""th-007-threat-intel"", ""th-008-apt-hunting""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
280,10,threat_hunting,3,Purple Team Threat Hunting Exercises,,"Understand purple team methodology and how it differs from red/blue team exercises, Execute adversary emulation exercises using MITRE ATT&CK framework, Measure detection coverage across the cyber kill chain","[""th-001-fundamentals"", ""th-002-methodologies"", ""th-003-windows-event-logs"", ""th-006-edr"", ""th-007-threat-intel"", ""th-008-apt-hunting""]",completed,"Career Path: SOC Analyst, Career Path: Threat Hunter, Built-In",
281,89,dfir,1,Linux Forensics Fundamentals and Distributions,Module 1: Linux Foundations,"Linux history, kernel architecture, distribution families (Debian, RHEL, Arch), Windows Subsystem for Linux (WSL) forensics, appliances and embedded Linux systems",[],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",Foundation lesson - no prerequisites
282,90,dfir,1,Linux Root Directory Structure and File Hierarchy,Module 1: Linux Foundations,"FHS (Filesystem Hierarchy Standard): /, /etc, /var, /home, /tmp, /usr, /opt. Key forensic locations, hidden files, symbolic links, mount points",[71],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
283,91,dfir,2,Linux File and Directory Permissions,Module 1: Linux Foundations,"Permission model (user, group, other), special permissions (SUID, SGID, sticky bit), ACLs, forensic analysis of permission anomalies",[72],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
284,93,dfir,2,Linux Shells and Command History Forensics,Module 1: Linux Foundations,"Bash, Zsh, Fish shell artifacts, ~/.bash_history, ~/.zsh_history analysis, command history timestamping (HISTTIMEFORMAT), history tampering detection, environment variables forensics",[74],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
285,94,dfir,2,Linux Authentication and Security Logs,Module 1: Linux Foundations,"/var/log/auth.log, /var/log/secure, SSH login analysis, sudo command logging, PAM logs, detecting brute force and lateral movement",[75],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
286,95,dfir,2,Linux System Logging Architecture,Module 1: Linux Foundations,"Syslog, rsyslog, journald architecture, /var/log/syslog, /var/log/kern.log, systemd journal (journalctl), web service logs (Apache, Nginx), firewall logs (iptables, ufw, firewalld), proxy logs (Squid, HAProxy)",[76],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
287,96,dfir,2,Linux auditd Framework for Forensics,Module 2: Advanced Logging,"auditd architecture and configuration, /var/log/audit/audit.log analysis, audit rules for file access/process execution/network activity, ausearch and aureport utilities, creating forensic audit trails",[77],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
288,97,dfir,2,Sysmon for Linux,Module 2: Advanced Logging,"Sysmon for Linux installation and configuration, event types (process creation, network connections, file creation), comparison with Windows Sysmon, Sysmon logs in journald, threat hunting with Sysmon for Linux",[78],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
289,98,dfir,3,VMware ESXi and vCenter Linux Logging,Module 2: Advanced Logging,"ESXi logging architecture, vCenter logs for Linux VMs, VM provisioning and snapshot logs, guest OS vs hypervisor logging",[79],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
290,99,dfir,2,ext2 File System Forensics,Module 3: File Systems,"ext2 structure (superblock, inodes, data blocks), inode analysis and metadata extraction, tools: debugfs, dumpe2fs, ext2 limitations for forensics",[72],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
291,100,dfir,2,ext3 File System Forensics,Module 3: File Systems,"Journaling introduction (journal file), journal recovery and analysis, ext2 vs ext3 forensic differences, journal parsing tools",[81],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
292,101,dfir,2,ext4 File System Forensics,Module 3: File Systems,"ext4 enhancements (extents, delayed allocation), extent-based storage analysis, deleted file recovery challenges in ext4, tools: ext4magic, extundelete",[82],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
293,102,dfir,2,Linux File System Analysis with Sleuth Kit,Module 3: File Systems,"fls (file listing), icat (inode cat), ils (inode list), istat for inode analysis, analyzing mounted vs unmounted filesystems, recovering deleted files with tsk_recover",[83],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
294,103,dfir,3,Linux Timestomping Detection,Module 3: File Systems,"atime, mtime, ctime, btime (birth time) in ext4, detecting timestamp manipulation, inode change time (ctime) vs modification time, using stat and debugfs for timestamp analysis",[84],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
295,104,dfir,2,Btrfs and XFS File Systems,Module 3: File Systems,"Btrfs: Copy-on-write, snapshots, subvolumes. XFS: Extent-based, high-performance filesystem. Forensic challenges with modern filesystems. Tools: btrfs-progs, xfs_db",[83],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
296,105,dfir,3,OpenZFS File System Forensics,Module 3: File Systems,"ZFS architecture (pools, datasets, snapshots), ZFS snapshots for forensic preservation, zpool and zfs commands for analysis, ZFS forensic advantages and challenges",[86],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
297,106,dfir,2,init.d and systemd Services Forensics,Module 4: Persistence,"/etc/init.d/ scripts (legacy), systemd unit files (/etc/systemd/system/, /usr/lib/systemd/system/), systemctl analysis for malicious services, service enable/disable timestamps, detecting rogue services",[77],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
298,107,dfir,2,systemd Timers and Cron Jobs,Module 4: Persistence,"Cron forensics: /etc/crontab, /var/spool/cron/crontabs/, user crontabs and root crontab, systemd timers (systemctl list-timers), at jobs and anacron, detecting backdoor scheduled tasks",[88],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
299,108,dfir,2,SSH Keys and Authentication Artifacts,Module 4: Persistence,"~/.ssh/authorized_keys analysis, /etc/ssh/sshd_config forensics, SSH host keys and known_hosts, detecting unauthorized SSH access, SSH key-based persistence",[76],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
300,109,dfir,3,Additional Linux Persistence Techniques,Module 4: Persistence,"Shell profile persistence (.bashrc, .bash_profile, .profile), LD_PRELOAD library injection, kernel module rootkits (lsmod, /proc/modules), init scripts and rc.local, webshells and backdoors in web directories","[88,89,90]",completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
301,110,dfir,2,dd dcfldd and dc3dd for Linux Imaging,Module 5: Evidence Collection,"dd fundamentals (if, of, bs, conv=noerror,sync), dcfldd with hashing and progress, dc3dd for forensic acquisition, creating split images, verifying image integrity (MD5, SHA256)",[71],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
302,111,dfir,2,Acquire Volatile Memory for Linux (AVML),Module 5: Evidence Collection,"AVML for memory acquisition, LiME (Linux Memory Extractor), /proc/kcore vs dedicated tools, memory image formats (raw, LIME), live memory acquisition best practices",[92],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
303,112,dfir,2,Unix-like Artifacts Collector (UAC),Module 5: Evidence Collection,"UAC installation and configuration, automated artifact collection (logs, history, processes, network), UAC output analysis, comparison with Velociraptor, IR triage with UAC",[92],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
304,113,dfir,3,Linux Virtualized Environment Forensics,Module 5: Evidence Collection,"VMware Linux VM acquisition (.vmdk, snapshots), Hyper-V Linux VMs, KVM/QEMU disk images (.qcow2, .img), container forensics (Docker, Podman), cloud Linux instance snapshots (AWS, Azure, GCP)","[92,80]",completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",Requires VMware ESXi lesson (80)
305,114,dfir,2,Sleuth Kit fls and mactime for Linux,Module 6: Timelining,"fls for filesystem timeline generation, mactime for MAC timestamp analysis, creating bodyfiles from Linux filesystems, timeline analysis with mactime",[84],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
306,115,dfir,3,Plaso and Log2Timeline for Linux,Module 6: Timelining,"Plaso installation (log2timeline.py), Linux-specific parsers (auth.log, syslog, bash_history, journald), creating super timelines from Linux systems, psort.py for timeline filtering, exporting to CSV, Timesketch",[96],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
307,116,dfir,3,Comprehensive Linux Timeline Analysis Lab,Module 6: Timelining,"Combining filesystem, log, and memory timelines, correlating events across multiple sources, detecting attack sequences, creating incident timelines","[96,97]",completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
308,117,dfir,2,Installing and Configuring Volatility 3 for Linux,Module 7: Memory Forensics,"Volatility 3 installation, Linux symbol tables and ISF files, dwarf2json for creating custom profiles, banner plugin for kernel version identification",[93],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
309,118,dfir,2,Linux Process Enumeration with Volatility,Module 7: Memory Forensics,"linux.pslist, linux.pstree, linux.psaux, process listing from memory, parent-child process relationships, detecting hidden processes (compare ps output vs memory)",[99],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
310,119,dfir,2,Linux Command History from Memory,Module 7: Memory Forensics,"linux.bash plugin for bash history, extracting command history from memory, recovering deleted history entries, user session reconstruction",[100],completed,"Course: 13Cubed-Investigating Linux Devices, Career Path: Incident Responder, Career Path: Forensic Analyst, Career Path: DFIR Specialist",
